"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Small states","SST","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","715923","826869","944220","894147","1089293","1334909","1394598","1056939","765930","866936","931657","879012","928430","1127088","1172242","1213532","1241971","1639821","1844013","1936166","1810775","1756581.7890625","1096142.0390625","1191541.51904297","1982788.8046875","2224824.81445313","2119565.07446289","2112882.74511719","2663915.73925781","2349062.70117188","2603532.34570313","2117937.80224609","2888155.44433594","3222234.61547852","2950832.3125","2941514.97570801","3327281.04272461","3564243.08789063","3204821.88769531","3315678.59765625","3513847.33203125","3506342.36132813","3942804.54492188","3757854.01953125","3665965.95703125","3663780.04064941","3312748.46020508","3309228.20275879","3140936.89916992","2979344.92456055","3036396.9967041","3017039.46014404","3220057.00231934","3064733.78125","2904159.13537598","3317720.07446289","3009821.4609375","3174608.64038086","3312277.49438477","","",
"Sao Tome and Principe","STP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","700","600","500","800","900","800","900","800","800","800","900","800","800","600","600","646","889","1175","1618","1847","2158","2688","4012","4444","3988","2833","2798","3391","3575","3867","2576","2406","2845","4106","4300","4620","3546","3600","3650","3700","3692","3820","4005","4141","4197","4323","4449","4575","4701","4837","6100","7400","8700","10000","11441","11719","10808","9730","","",
"Suriname","SUR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4510","7300","5350","5550","5910","6610","6580","6510","7600","9900","11750","10400","12120","11610","10501","12262","5993","6897","4474","4535","4046","4620","3796","4520","5095","4909","4540","6626","4602","7786","7670","8186","11269","9577","14765","14300","16177","16617","21577","24247","24238","28557","30705","35594","32872","29620","31921","30901","24132","26143","35085","35490","39264","39369","38428","44705","47013","46980","46980","","",
"Slovak Republic","SVK","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1185","1627","1950","1414","1364","1361","1396","1368","1531","1746","1646","1603","1693","1718","1994","1655","1761","1608","1935","1945","1986","1944","1971","1866","1870","1937","","",
"Slovenia","SVN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3905","2284","2346","2167","2367","2367","2228","2027","1856","1827","1686","1282","1023","1227","1133.1689453125","1112.45397949219","881.713989257813","1035.25903320313","941","890.609008789063","485.18798828125","400.216003417969","410.5","343.391998291016","310.519012451172","280.070007324219","263.744995117188","","",
"Sweden","SWE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","249542","268413","293900","341800","377298","370056","319790","341168","318460","269358","285669","229386","218105","220184","205148","206862","204810","182316","184937","197481","232694","254718","251842","258490","271353","236666","210982","207141","242711","249844","251094","237072","307545","341897","386839","404626","371022","357391","410901","351258","338539","311820","294967","286880","269931","256359","269253","238256","231337","203416","212035","181321","151609","188951","181574","211963","205465","228726","221662","","",
"Eswatini","SWZ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","50","50","50","50","50","50","50","50","50","53","44","60","70","70","80","80","82","78","82","81","90","70","65","60","60","68","60","50","50","50","50","50","50","50","60","60","60","60","60","60","60","60","60","60","60","60","65","65","65","65","65","","",
"Sint Maarten (Dutch part)","SXM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253","253","253","253","253","253","253","253","","",
"Seychelles","SYC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1800","2000","2000","2000","2000","2000","2500","2500","2500","2500","3000","3000","3000","3000","3500","3950","4010","4600","5400","4957","4676","5221","4045","3938","3734","4118","4542","3900","4343","4412","5437","8150","6663","5178","4469","4008","4707","14043","23886","34223","32778","53591","63383","86020","100671","108680","92739","65514","69199","81114","87111","75481","68687","74127","75116","104984","127128","142765","145614","","",
"Syrian Arab Republic","SYR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1500","1600","1600","1600","1600","1700","1700","1700","1800","1800","1692","2090","1585","1325","1630","1971","3237","3497","3592","3596","3462","3022","2941","3036.54907226563","3360.39599609375","3080.11010742188","2732.93090820313","3399.65991210938","2493","2433","3046","4552","4538","4554","5520","5782","5773","6131","7097","7938","6572","8291","9178","8911","8528","8447","8264","9457","6995","6607","6637","5900","5300","4800","4400","4100","4500","4365","4374","","",
"Turks and Caicos Islands","TCA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","830","830","1360","1460","1460","1460","1460","1560","1560","1560","1230","1230","1430","1430","1759","3299","4064","2464","3609","4662","3598","2628","2734","3967","3547","4608","5266","2582","3635","3868","2768","3298","3079","4631","4345","5577","5494","4166","4215","4570","3688","4275","4733","4096","3821","4274","4105","4458","3544","4257","4826","3964","2818","2353","1469","1505","1783","2105","2231","","",
"Chad","TCD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","40000","45000","45000","45000","50000","55000","60000","60000","65000","65000","70000","70000","70000","70000","75000","75000","75000","80000","75000","70000","60000","55000","30000","40000","50000","55000","60000","70000","58000","64400","70000","60000","80000","87300","80000","90000","100000","85000","51300","59600","83200","75000","70000","71000","74000","77000","79000","82000","85000","88000","91000","95000","100000","120000","120020","100000","110000","107045","107000","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4552198","4976592","5307497","5493725","5752628","6041928","6346800","6602702","7141914","7312838","7413662","7942129","8595396","8962526","9015540","9134963","9450791","10235340","10149584","9737635","9746735","10159549","10829004","11649699.96875","11796937.1132813","12294882.1210938","13486778.5996094","14595944.6523438","14949199.6328125","15726825.5273438","16552965.3125","17674097.9707031","19177103.6621094","20551637.4797363","22574290.1132813","24659144.1485596","26282855.3444824","27059913.9257813","28089472.75","28413493.4648438","28625206.2070313","28569768.2363281","28991039.9667969","29809970.5820313","30609045.3320313","30883797.5093994","31355385.8476563","31570185.3590088","31203005.3991699","31394074.6289063","31582428.09375","32060881.6101685","32532537.9492188","33204259.75","34512198.984375","34939628.453125","34495545.4296875","34290566.375","34317267.75","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","298411","292822","264216","380537","407931","465971","491057","589875","615626","680442","774029","821315","875967","890832","1011497","1172822","1148240","1065084","1015943","1168372","1318916","1334949","1401652","1607417","1562449.0625","1531357.125","1536910.13769531","1610305.40039063","11197980.7998047","10726715.7128906","9664069.69335938","8718759","7250131.27807617","5902372.2734375","5238877.0078125","5981029.35375977","6130201.69604492","6005953.29217529","5804779.578125","5549513.09130859","5306078.24414063","4842590.32495117","4449225.33911133","4383961.63525391","4054332.63671875","4213483.08984375","4347884.23266602","4663129.03271484","4478308.078125","4938224.69995117","5160196.90100098","5347190.8626709","5300251.9798584","5355567.34375","5112334.90002441","5443396.31567383","5647607.20019531","5882819.75952148","6139055.43579102","","",
"Togo","TGO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3500","4000","4300","4500","5000","6000","7300","7500","10000","10000","9111","10921","10942","11333","11150","14420","12820","10847","15363","8096","9134","10325","14530","14878","14675","15544","14824","15175","15455","16444","15778","12502","10749","16964","13052","12201","15098","14290","16677","22924","22277","23163","20946","27485","28013","27706","24830","19905","22765","27025","27535","24122","19320","20015","19849","21497","31891","26915","24620","","",
"Thailand","THA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","199875","274904","309267","391380","549576","587753","670292","806597","1038448","1212764","1356961","1498048","1626404","1636985","1468140","1468103","1536215","2040523","1970906","1835895","1704022","1861363","2034812","2161944","2028329","2097535","2407927","2636655","2436446","2447490","2500034","2621911","2876102","2927708","3017264","3035865","3017307","2908790","2930354","2952308","3002069","2836373","2846008","2860652","2860074","2842936","2731250","2345141","1915101","1896821","1842133","1870004","1753729","1866084","1703997","1535634","1551827","1516639","1727179","","",
"Tajikistan","TJK","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309","280","284","256","149","253","127","100","110","120","135","150","167","137","181","158","184","167","215","225","380","535","690","843","714","1179","1174","1176","1100","1100","1100","","",
"Turkmenistan","TKM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44445","50510","42485","40792","31777","16080","15140","9740","9014","8179","7014","9058","12228","12749","12812","14543","14992","15000","15000","15000","15000","15000","15000","15000","15000","15000","15000","15000","15000","15000","15000","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4643007","6519518","8513864","8600724","11328878","9333064","11450013","12585234","13383258","11719670","15346988","13778363","7400230","5214625","7368745","6579644","8118575","6663278","8811339","9994798","9458981","10268066","11325647","9167769.85009766","12064311.875","13875895.4707031","15864047.3261719","14029343.9858398","16490903.7358398","18004064.9467773","16215122.875","17207200.875","18169835.5","19754157.125","24803476.25","22411743.375","22388052.5","19673013.375","13104604.25","19069266.5","20815507.375","17855690.5","18854441.875","15466579","20468980.375","19688723.5546875","17731796.25","17268900.6953125","17342323.625","16473210.875","12943880","17371535.625","13342181.25","13926175.125","11982474.625","12345121","10889123.25","11926765.4970703","14729902.7480469","","",
"Timor-Leste","TLS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3401","3621","3561","3720","3850","4000","3650","3300","2911","3243","3200","3200","3200","3200","3200","3200","3200","3200","3200","3200","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","351678","372796","384268","390210","443471","432425","526461","465264","433488","445790","471277","449636","491569","636961","608853","557857","635712","622444","640513.89453125","706033.7890625","755739.09375","786626.078125","817201.640625","912461.236572266","948127.858886719","1022561.99194336","1185739.53637695","1179584.03491211","1324857.6328125","1307083.34375","1372183.0703125","1441189.5546875","1462317.8515625","1581652.2734375","1749635.453125","1902136.6953125","1687743.2109375","1905263.515625","1867773.71875","1946984.484375","2088034.9140625","2353206.96875","2214863.9921875","2243786.7421875","2241827.5625","2350873.609375","2307940.9609375","2198054.8125","2249470.875","2477220.61328125","2404482.921875","2273558.375","2610217.375","2730088.453125","2858417.796875","2813160.625","2935294.875","2977870.75","3020662.296875","","",
"Tonga","TON","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","400","400","400","400","500","500","500","500","500","400","500","500","603","730","901","1023","1201","1221","2000","1994","2093","2134","2237","2385","2561","2814","2790","2731","2699","1644","1935","2237","2375","2499","2727","2955","2924","4166","4694","4231","4947","5260","4754","3352","2566","2882","2727","2293","1955","2076","2080","2287","1845","1920","1789","1664","1400","1242","","",
"South Asia (IDA & IBRD)","TSA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1613240","1464966","1536046","1611008","1965853","2018693","2097117","2127431","2312518","2397928","2582233","2690022","2590484","2918849","3150519","2960669","2879459","3054239","3048736","3060453","3117850","3127403","3055680","3225717.5","3521540","3494361.5","3628940","3504551","3675936","4096054","4239531","4386868","4453085.078125","4831210.890625","4996138.671875","5010905.921875","5255157.3125","5416380.84375","5307385.875","5600215.6875","5763306.59375","5839044","5877590","5894220.1875","5620971.40625","5933166","6305756","6308316","6637383","6851904","7433413","6963216","7525654","7348138","7753518","7648454","8062345","8565331","8404608","","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1974245","2146006","2296433","2430989","2810872","2855726","3015681","3424761","3941911","3929233","3444752","3494622","3830400","3981275","3972709","3762965","3467255","3456204","3431953","3319212","3154195","3248384","3250183","3424141","3309533","3383393","3583233","4424643","4359904.3125","4000483.03125","4129192.22753906","3814078.85009766","4696676.3125","4661968.34375","4374405.0625","4595367.75","4540054.13125","4773138.84375","4953969.38439941","5177183.94042969","5414760.90625","5514528.578125","5543718.828125","5849990.25","6108624.265625","6107385.5","5716114.5","5822353.5","5850865.5","5846867","6204002","6476535","6937926","6866405","7094442","7172001.25","7642646","8308947","8293955.75","","",
"Trinidad and Tobago","TTO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2400","2400","2400","2400","2400","3000","3000","3200","3400","3400","3600","4100","3700","4000","3725","4417","4417","4303","4823","3840","4461","3804","4574","4541","3764","5560","4347","7714","9211","11466","12362","11501","13000","8998","14046","11500","9435","11283","14846","14694","14237","16598","18768","14592","14713","16996","13123","13463","13833","13863","13930","13114","11747","13217","13290","12141","13116","12942","13176","","",
"Tunisia","TUN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","16650","21800","20804","26060","21676","23201","26193","28207","28484","30127","22660","25870","28289","30674","42347","45271","50024","55721","56396.80078125","59708.1015625","61067.5","57995.5","63689","67951.296875","75739.1640625","89678.5078125","91220.8359375","97504.5","99183.1640625","93117.5","84213.515625","85735.5546875","86488","82622.2421875","85809.8125","83255.71875","83534.0078125","86390.3046875","88097.59375","92395.234375","94670.828125","97526.09375","96727.5703125","90262.1171875","110371.671875","109153.3125","111394.5390625","103821.1875","96189.75","94536.8125","93178.796875","103045","108470","110886.703125","112299.796875","117263","112147.5","108813","106046.296875","","",
"Turkey","TUR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","87800","81200","60100","130300","121000","134400","116836","187913","133268","169230","173841","160410","174957","146374","128738","121724","152660","164465","244131","349682","426855","470180","503466","557297","566942.0625","578082.125","579855.9375","624698","669904.5","450487.3125","379204.09375","356949","447374","545535","587576","630978","520429.5","459155","487201","573827","503352","527736","566782","507772","550482","426496","533048","632450","494118","463917","485925","514763","432444","374128","302214","431909","335326","354320","314095","","",
"Tuvalu","TUV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","100","150","180","429","784","840","313","660","933","1409","519","518","526","499","1460","561","399","400","500","500","500","500","500","600","1500","2450","2560","3160","3770","4380","5228","11466","11851","17619","12923","7379","6147","7684","7488","12725","","",
"Tanzania","TZA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","70800","73100","73300","79000","103000","104700","104200","131000","155600","154200","191220","183601","158026","164192","174826","212076","233744","272541","213484","182832","231192","233897","230873","242766","280894","304766","313968","348463","399328.3125","382683.03125","419018.1875","330361.75","334242.3125","335194.34375","292363.0625","364270","328701.1875","361383.1875","352931.90625","315577","328566","343626.75","330440","356191.75","365816.6875","377269","337464","428222","328070","335744","351992","350610","380634","381639","343299","376744.25","372447","390316","377046","","",
"Uganda","UGA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","62600","61200","64500","69600","70500","76300","83300","99600","108400","125300","129000","137000","166000","169500","167500","188000","152400","219220","223830","179930","165840","166590","170035","172000","212300","160800","197600","200000","214291","212205","245223","214570","267400","223833","217946","208789","195088","218026","220628","226097","219864","221626","221898","241812","372389","417058","367099","431500","403790","412000","413805","437415","408043","419249","461711","396705","389744","389629","439354","","",
"Ukraine","UKR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","968985","898342","872883","707413","457220","299828","277305","390888","408442","369167","462527","408881","391867","310978","265746","257628","222272.015625","268007","219228","215400","234079","220718","209948","179996","154392","203623","143083","120403.015625","75775","93467","76181","","",
"Upper middle income","UMC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","7808224","10005880","12019663","12204766","14793143","13452024","14989261","17126726","18394456","16917282","19970439","18425795","13168565","11506173","13471958","12896187","14038188","13062870","14423215","14466422","13633919","14097552","15399440","13385426.75","15664971.3847656","17601870.4775391","19855543.4736328","20187385.1425781","30964286.9169922","30919505.0292969","29999569.3222656","30137989.6621094","31303613.447998","33390033.546875","37449798.1484375","37494196.8781738","39920843.9968262","38432803.6749878","35063777.4609375","39013456.5014648","41152657.375","37665831.6999512","37888935.6750488","35322300.4008789","38731784.5351563","38670762.5","37071312.3498535","36750485.8999023","36449205.625","35916297.3757324","33558087.6002197","37949336.4251709","34932635.0501709","36425776.125","34564277.5250244","35784083.3000488","34362136.9501953","34379119.6003418","36901196.8479004","","",
"Uruguay","URY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","18462","18503","15813","18100","22570","25241","24800","23820","24161","27920","28377","30436","34246","31062","30814","42045","50912","62474","87807","118666","129296","153570","120363","144216","140039","145559","147139","144787","113557","128422","96268","149086","125853","118927","120732","126459","123382","136984","140748","106613","113358","105060","108166","117348","123082","125872.0546875","134022","108804.1953125","108860","80954","74233","89322","76217","59251","65188","59723","51638","65475","67237","","",
"United States","USA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","2755715","2979093","2995674","2741650","2585660","2702785","2495433","2377789","2470105","2478221","2836550","2917107","2810040","2836981","2919015","2876146","3111419","3065974","3502537","3609656","3727627","3725240","3977879","4186687","4763710","4744131.5","4910476","5745394","5754885","5579698.5","5781091.5","5373133","5473939.5","5817721.5","5846727.5","5414226","5268586","5385731","5059144","5205206","5041558","5275155","5326987","5345396","5363263","5320894","5311208","5189908","4606530","4527104","4687648","5491330","5338928","5581776","5476248","5472360","5463707","5501797","5353303","","",
"Uzbekistan","UZB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5750","4525","4801","3123","7728","4358","3095","3611","2200","3075","2799","2908","3306","3400","2600","2100","1900","2900","3400","3100","3800","4100","4078","8513","11052","13670","17116","22956","27267","31450","33600","","",
"St. Vincent and the Grenadines","VCT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","400","400","500","500","500","500","500","400","500","600","300","300","264","354","684","496","646","698","547","540","500","500","481","480","483","601","705","4648","5820","9022","8167","2172","2242","3922","1033","990","6145","34110","17806","22802","31946","46078","37768","78315","44106","51585","63310","55898","59587","66370","76578","10187","39511","81386","26167","22743","32986","2364","","",
"Venezuela, RB","VEN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","84700","84920","94916","97307","110611","119408","116929","107526","126100","134100","126720","139046","152220","162611","145375","154663","150620","154544","182688","168112","187933","181157","210907","230445","259432","264715","284724","403227","437662","466043","427672","440263","436123","475117","492405","556215","526318","503847","539842","424893","383294","487318","530088","537782","637495","461476","377261","371159","311055","332729","232505","230070","239408","224706","226404","256399","305745","303000","319265","","",
"British Virgin Islands","VGB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","300","400","400","400","400","400","400","300","300","300","300","300","300","300","306","318","330","340","350","360","370","380","390","407","470","520","543","565","582","615","624","634","453","343","470","532","506","105","116","115","43","837","1062","2771","1262","1295","1308","1251","1202","1201","1201","1200","1196","1203","1205","1200","1192","1192","1192","","",
"Virgin Islands (U.S.)","VIR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","500","500","500","500","500","600","600","600","600","600","600","500","500","500","503","500","602","557","547","688","618","891","615","697","612","932","894","694","805","702","904","940","1000","1070","1170","1240","1310","1480","1549","1673","1738","1796","1867","1970","1634","2213","1458","1314","1393","1040","1003","611","537","484","378","551","464","287","","",
"Vietnam","VNM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","435500","433800","501940","584190","599970","625260","628040","655610","652270","703310","552650","619940","707270","740050","495580","466410","527220","501780","493240","506310","460500","494056","553438","644218","658308","680010","702873","727253","730716","790022","779151","831070","868107","932143","1025909","1084939","1223644","1276325","1293954","1483700","1629612","1724758","1802598","1856005","1940865","1991276","2042725","2091690","2077762","2187883","2252996","2403770","2527288","2632907","2764042","2873233","3090882","3333710","3357090","","",
"Vanuatu","VUT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1400","1400","1400","1500","1500","1800","1800","1800","1800","1800","2100","2200","2300","2400","2510","2610","2710","2816","2825","2819","2937","2715","2715","2542","2956","8196","16888","20078","25886","27200","41975","44367","45019","40755","47357","57904","47696","70357","75019","91433","70589","36176","44968","113867","212786.625","229553","222561","213697.203125","172595","150544.296875","101244.5","59315.5","63423.5","61857.3984375","69857.203125","82190","44003.1015625","10461","10201","","",
"World","WLD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","34790181","38630192","42035679","42996371.1","47586827.1","48653613.4","52568635.8","56020668","59336231","57903206","63886816","63917908","59670600","60227295","63470416","62941133","66328026","65083617","67115747","67583580.5","68257270","70308777.033","72121092.738","71946274.376","77654923.412","79380107.449","84935065.919","85595380.513","89066596.227","89603182.964","86024297.41","84921535.262","86415586.71","87749049.809","93361399.181","93696571.977","95159583.233","94464034.81","86874551.956","92812113.525","94763862.697","91957971.436","92313232.588","89559026.501","94176615.32","93697962.791","91237774.257","91558656.417","90694759.549","90266893.424","88855994.004","93180835.75","90512336.661","91753926.83","92360622.69","93736944.844","","","","","",
"Samoa","WSM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","500","600","600","600","600","600","700","700","700","700","900","900","900","900","900","1000","1100","1250","1090","1890","1990","3095","4020","3820","3720","3641","3186","3076","2500","2530","1505","1595","2436","1986","2591","4094","4410","7867","9364","8562","8595","8613","10881","9703","9934","9836","12435","14091","13899","13279","12840","11452","11901","11201","7501","8699","8801","10854","9766","","",
"Kosovo","XKX","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","22300","22000","22000","22000","25000","25000","25000","27000","27000","27000","27400","26400","31600","43200","51244","50829","65022","66096","67047","69600","78444","71164","55449","57906","64273","73855","73018","72916","73943","71881","77310","85998","79893","82356","81885","107970","104955","115654","127620","124384","114750","142198","179584","228116","256300","238400","229660","179916","132062","179603","163861","154061","227115","228783","213402","176778","152131","131290","131308","","",
"South Africa","ZAF","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","882523","1039952","1092247","1199169","1353615","1419933","1421294","1770065","2207074","1966713","1365777","1291256","1268667","1506926","1545272","1489679","1272767","1097993","1112859","1086665","932558","948000","929541","995565","785094","849111","853342","1466359","1336314","905668","550084","512115","712360","588913","553483","597349","452560","539537","583287","633148","694000","815928","839529","872015","947569","850712","653123","725694","696112","548340","687923","575619","790135","505078","730272","631950","660043","593963","611485","","",
"Zambia","ZMB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","19500","20400","22200","40100","42300","40100","40100","38500","41300","44000","52100","46800","49900","50400","46929","57464","54267","53734","47569","49511","50988","39553","55809","54175","65555","68000","56229","67243","66430","73126","68268","67115","71210","74413","76116","82190","68747","78151","79188","87029","86411","83900","85259","94351","94078","94238","100041","110847","107601","128371","100113","113016","95969","120555","125059","127645","196292","115853","111127","","",
"Zimbabwe","ZWE","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1300","1300","1300","1300","1900","2000","2000","2000","2000","2000","2000","2500","3000","3000","3087","3654","4510","4731","7732","9799","13213","16356","17441","13482","16277","17260","18802","29028","32757","35447","43174","57114","58077","75341","59490","56053","54682","70985","57091","75474","95012","88457","91432","84307","70685","79794","91373","74990","92054","72601","92195","102435","101071","128899","144885","130399","129202","100710","115297","","",
